Code matériel ;N° de série ;Catégorie ;Modèle ;Marque ;Statut ;Fin de garantie ;Localisation (dernier niveau) ;Entité (dernier niveau) ;Date inventaire ;Date d'installation ;Localisation (complet) ;Entité (complet) 
700628;FCZ113110A5 ;Routeur ;2801;CISCO ;En service ;;A.BAB SOUIKA ;AG_BAB SOUIKA ;;;A.T.B/*T.CENTRE/A.BAB SOUIKA ;AG/Z.T.CENTRE/AG_BAB SOUIKA 
700638;YE7M018019 ;Ecran ;"19 """;SIEMENS ;En service ;;ETAGE 5 ;D.C.RETAIL ;;;A.T.B/LOC1(SIEGE)/ETAGE 5 ;DIR/D.C.RETAIL 
700640;100455;Scanner Cheque ;LS515USB ;CTS ;En service ;;A.AJIM ;AG_AJIM ;;;A.T.B/*SUD/A.AJIM ;AG/Z.SUD/AG_AJIM 
700644;YE7C009966 ;Ecran ;"19 """;SIEMENS ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
700653;YENA506080 ;Ecran ;"19 """;SIEMENS ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
700658;YV3N055150 ;Ecran ;L20T-2LED ;SIEMENS ;En service ;;A.B KHIAR ;AG_B.KHIAR ;;;A.T.B/*CAP BON/A.B KHIAR ;AG/Z.CAP BON/AG_B.KHIAR 
700661;YE7M018011 ;Ecran ;"17 """;SIEMENS ;En service ;;A.BAB SOUIKA ;AG_BAB SOUIKA ;;;A.T.B/*T.CENTRE/A.BAB SOUIKA ;AG/Z.T.CENTRE/AG_BAB SOUIKA 
700676;FCZ144271KL ;Routeur ;2900 Series ;CISCO ;En service ;;A.B KHIAR ;AG_B.KHIAR ;;;A.T.B/*CAP BON/A.B KHIAR ;AG/Z.CAP BON/AG_B.KHIAR 
700677;YE7M012143 ;Ecran ;"17 """;SIEMENS ;En service ;;A.BAB SOUIKA ;AG_BAB SOUIKA ;;;A.T.B/*T.CENTRE/A.BAB SOUIKA ;AG/Z.T.CENTRE/AG_BAB SOUIKA 
700683;YENB603351 ;Ecran ;"17 """;SIEMENS ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
700690;23X6577 ;Ecran ;"17 """;SIEMENS ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
700696;FCZ1029122Y ;Routeur ;1700;CISCO ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
